N          d          numCycles  lookedAt   ratio      traversed  ratio     
100        11         16         2234       1.861667   212        0.176667  
100        11         12         2555       2.129167   238        0.198333  
100        11         14         2783       2.319167   262        0.218333  
100        11         14         2930       2.441667   276        0.230000  
100        11         16         3410       2.841667   324        0.270000  
100        11         11         3050       2.541667   284        0.236667  
100        11         11         3470       2.891667   324        0.270000  
100        11         15         3275       2.729167   310        0.258333  
100        11         19         2765       2.304167   266        0.221667  
100        11         14         2699       2.249167   254        0.211667  
100        11         10         2663       2.219167   246        0.205000  
100        11         18         2441       2.034167   234        0.195000  
100        11         18         2882       2.401667   276        0.230000  
100        11         18         2714       2.261667   260        0.216667  
100        11         18         2315       1.929167   222        0.185000  
100        11         8          3065       2.554167   282        0.235000  
100        11         10         2747       2.289167   254        0.211667  
100        11         20         3026       2.521667   292        0.243333  
100        11         12         2765       2.304167   258        0.215000  
100        11         14         2636       2.196667   248        0.206667  
100        11         15         3380       2.816667   320        0.266667  
100        11         14         2762       2.301667   260        0.216667  
100        11         16         2549       2.124167   242        0.201667  
100        11         17         2348       1.956667   224        0.186667  
100        11         10         2411       2.009167   222        0.185000  
100        11         15         2477       2.064167   234        0.195000  
100        11         15         2981       2.484167   282        0.235000  
100        11         11         3113       2.594167   290        0.241667  
100        11         17         2621       2.184167   250        0.208333  
100        11         13         2711       2.259167   254        0.211667  
100        11         14         2825       2.354167   266        0.221667  
100        11         13         2648       2.206667   248        0.206667  
100        11         14         3182       2.651667   300        0.250000  
100        11         12         2723       2.269167   254        0.211667  
100        11         8          2561       2.134167   234        0.195000  
100        11         11         3281       2.734167   306        0.255000  
100        11         8          2792       2.326667   256        0.213333  
100        11         20         2900       2.416667   280        0.233333  
100        11         12         2912       2.426667   272        0.226667  
100        11         12         2639       2.199167   246        0.205000  
100        11         21         2300       1.916667   224        0.186667  
100        11         14         3140       2.616667   296        0.246667  
100        11         15         2519       2.099167   238        0.198333  
100        11         14         2615       2.179167   246        0.205000  
100        11         14         3560       2.966667   336        0.280000  
100        11         14         2594       2.161667   244        0.203333  
100        13         11         3221       2.300714   254        0.181429  
100        13         14         3154       2.252857   252        0.180000  
100        13         16         2951       2.107857   238        0.170000  
100        13         14         3979       2.842143   318        0.227143  
100        13         11         2971       2.122143   234        0.167143  
100        13         15         3365       2.403571   270        0.192857  
100        13         25         2950       2.107143   248        0.177143  
100        13         18         2873       2.052143   234        0.167143  
100        13         18         2748       1.962857   224        0.160000  
100        13         16         2701       1.929286   218        0.155714  
100        13         10         3185       2.275000   250        0.178571  
100        13         13         3243       2.316429   258        0.184286  
100        13         15         3040       2.171429   244        0.174286  
100        13         10         2910       2.078571   228        0.162857  
100        13         15         2915       2.082143   234        0.167143  
100        13         14         2954       2.110000   236        0.168571  
100        13         23         2578       1.841429   216        0.154286  
100        13         15         3315       2.367857   266        0.190000  
100        13         15         3540       2.528571   284        0.202857  
100        13         18         3548       2.534286   288        0.205714  
100        13         16         3276       2.340000   264        0.188571  
100        13         11         2771       1.979286   218        0.155714  
100        13         19         3334       2.381429   272        0.194286  
100        13         18         2748       1.962857   224        0.160000  
100        13         12         3607       2.576429   286        0.204286  
100        13         15         2890       2.064286   232        0.165714  
100        13         17         3062       2.187143   248        0.177143  
100        13         13         2993       2.137857   238        0.170000  
100        13         21         2656       1.897143   220        0.157143  
100        13         17         2912       2.080000   236        0.168571  
100        13         17         2662       1.901429   216        0.154286  
100        13         13         3393       2.423571   270        0.192857  
100        13         18         2823       2.016429   230        0.164286  
100        13         19         2684       1.917143   220        0.157143  
100        13         11         3746       2.675714   296        0.211429  
100        13         14         2779       1.985000   222        0.158571  
100        13         18         3223       2.302143   262        0.187143  
100        13         16         2676       1.911429   216        0.154286  
100        13         14         3279       2.342143   262        0.187143  
100        13         10         2860       2.042857   224        0.160000  
100        13         16         3051       2.179286   246        0.175714  
100        13         25         2825       2.017857   238        0.170000  
100        13         18         3023       2.159286   246        0.175714  
100        13         14         3004       2.145714   240        0.171429  
100        13         21         3481       2.486429   286        0.204286  
100        13         15         2965       2.117857   238        0.170000  
100        13         9          2824       2.017143   220        0.157143  
100        13         15         2915       2.082143   234        0.167143  
100        13         16         2976       2.125714   240        0.171429  
100        13         17         3012       2.151429   244        0.174286  
100        13         16         3176       2.268571   256        0.182857  
100        13         20         3295       2.353571   270        0.192857  
100        13         14         2779       1.985000   222        0.158571  
100        13         17         3412       2.437143   276        0.197143  
100        13         14         2754       1.967143   220        0.157143  
100        13         10         2910       2.078571   228        0.162857  
100        13         19         2784       1.988571   228        0.162857  
100        13         13         2843       2.030714   226        0.161429  
100        13         17         2712       1.937143   220        0.157143  
100        13         15         3990       2.850000   320        0.228571  
100        13         16         2801       2.000714   226        0.161429  
100        13         20         3170       2.264286   260        0.185714  
100        13         13         4068       2.905714   324        0.231429  
100        13         11         3671       2.622143   290        0.207143  
100        13         17         2862       2.044286   232        0.165714  
100        13         14         2879       2.056429   230        0.164286  
100        13         15         3465       2.475000   278        0.198571  
100        13         8          3363       2.402143   262        0.187143  
100        13         14         3079       2.199286   246        0.175714  
100        13         16         3226       2.304286   260        0.185714  
100        13         19         2809       2.006429   230        0.164286  
100        13         26         2686       1.918571   228        0.162857  
100        13         13         3168       2.262857   252        0.180000  
100        13         16         3026       2.161429   244        0.174286  
100        13         17         2837       2.026429   230        0.164286  
100        13         12         3382       2.415714   268        0.191429  
100        13         11         3596       2.568571   284        0.202857  
100        13         17         2662       1.901429   216        0.154286  
100        13         19         3034       2.167143   248        0.177143  
100        13         15         2840       2.028571   228        0.162857  
100        13         13         2868       2.048571   228        0.162857  
100        13         20         3345       2.389286   274        0.195714  
100        13         16         3526       2.518571   284        0.202857  
100        13         24         2764       1.974286   232        0.165714  
