N          d          No Go Home Go Home   
100        13         1967       1188      
100        13         1888       1119      
100        13         2248       1081      
100        13         2065       1297      
100        13         1970       905       
100        13         1795       833       
100        13         2276       954       
100        13         2494       983       
100        13         2437       996       
100        13         2283       1217      
100        13         3643       1103      
100        13         2021       943       
100        13         1887       1020      
100        13         1834       984       
100        13         2431       978       
100        13         2126       943       
100        13         2139       1055      
100        13         2029       945       
100        13         2105       1108      
100        13         1966       937       
100        13         2033       798       
100        13         2218       1159      
100        13         2578       1123      
100        13         2092       969       
100        13         1866       1058      
100        13         1870       893       
100        13         2196       994       
100        13         2351       1053      
100        13         2348       987       
100        13         2102       967       
100        13         2197       1055      
100        13         1875       1164      
100        13         1894       1177      
100        13         3149       984       
100        13         2123       916       
100        13         1873       964       
100        13         2114       922       
100        13         2529       1094      
100        13         1962       1015      
100        13         2262       1082      
100        13         2033       1107      
100        13         2626       984       
100        13         2562       1092      
100        13         2668       911       
100        13         2282       1093      
100        13         2061       988       
100        13         2510       952       
100        13         2074       946       
100        13         2164       959       
100        13         1732       927       
100        13         2104       1022      
100        13         1900       1067      
100        13         2227       1063      
100        13         3109       1123      
100        13         2270       887       
100        13         2382       1002      
100        13         2926       909       
100        13         2006       977       
100        13         2134       925       
100        13         2433       1188      
100        13         2419       1114      
100        13         2021       1017      
100        13         2302       983       
100        13         1942       1038      
100        13         2323       793       
100        13         2077       959       
100        13         2112       1130      
100        13         2412       1125      
100        13         2147       1012      
100        13         2041       1185      
100        13         2183       1015      
100        13         2036       978       
100        13         2137       894       
100        13         2404       1096      
100        13         1758       1133      
100        13         3044       922       
100        13         2028       1060      
100        13         2117       1099      
100        13         2140       1103      
100        13         2375       879       
100        13         2330       1081      
100        13         2849       987       
100        13         1927       840       
100        13         2559       916       
100        13         2843       953       
100        13         2522       1047      
100        13         3240       960       
100        13         2003       1056      
100        13         2002       945       
100        13         2724       915       
100        13         1918       986       
100        13         2084       1123      
100        13         2002       932       
100        15         3300       1023      
100        15         2631       1039      
100        15         3487       1132      
100        15         2590       944       
100        15         2909       986       
100        15         2457       964       
100        15         2777       975       
100        15         2324       941       
100        15         2760       883       
100        15         2624       894       
100        15         2155       968       
100        15         2844       998       
100        15         2387       1101      
100        15         2944       1001      
100        15         2422       980       
100        15         2986       944       
100        15         2857       943       
100        15         2170       1132      
100        15         2796       901       
100        15         2376       934       
100        15         3062       700       
100        15         2557       1068      
100        15         3152       1047      
100        15         2446       897       
100        15         3840       934       
100        15         2168       1029      
100        15         2600       1210      
100        15         2520       916       
100        15         2211       1003      
100        15         3358       1048      
100        15         2281       1026      
100        15         2782       1024      
100        15         2188       891       
100        15         2360       1251      
100        15         3062       837       
100        15         2311       899       
100        15         2244       1029      
100        15         2368       1029      
100        15         2245       992       
100        15         2705       1151      
100        15         3420       1054      
100        15         3649       1089      
100        15         3104       881       
100        15         2410       1010      
100        15         2258       1017      
100        15         3010       998       
100        15         2242       850       
100        15         2840       1123      
100        15         2607       959       
100        15         3057       1039      
100        15         2500       1002      
100        15         2442       1010      
100        15         2984       1164      
100        15         2619       1083      
100        15         2480       997       
100        15         2525       955       
100        15         2401       881       
100        15         2482       919       
100        15         3460       1009      
100        15         3179       862       
100        15         3266       885       
100        15         2090       940       
100        15         2643       875       
100        15         2988       966       
100        15         3960       808       
100        15         2750       904       
100        15         3167       1030      
100        15         2514       1052      
100        15         2752       1006      
100        15         2525       911       
100        15         2746       951       
100        15         2465       961       
100        15         3845       1046      
100        15         2489       923       
100        15         2512       1213      
100        15         2991       878       
100        15         2367       1022      
100        15         2548       883       
100        15         2565       782       
100        15         2767       1071      
100        15         2850       1053      
100        15         2552       957       
100        15         2626       1122      
100        15         2926       983       
100        15         3252       921       
100        15         2901       826       
100        15         2898       929       
100        15         2416       1021      
100        15         2381       1036      
100        15         2156       1109      
100        15         2617       758       
100        15         2963       1041      
100        15         2226       996       
100        15         2577       1088      
100        15         3452       1020      
100        15         2608       862       
100        15         3151       918       
100        15         2437       923       
100        15         3201       1021      
100        15         2789       1015      
200        3          1291       1237      
200        3          1445       1238      
200        3          1449       1140      
200        3          1294       1184      
200        3          1597       1431      
200        3          2587       1274      
200        3          1253       1253      
200        3          1296       1082      
200        3          1608       1441      
200        3          1565       1243      
200        3          1452       1451      
200        3          1709       1768      
200        3          1862       1345      
200        3          1491       1331      
200        3          1338       1377      
200        3          1212       1312      
200        3          1300       1128      
200        3          1639       1875      
200        3          1532       1225      
200        3          1301       1371      
200        3          1903       1323      
200        3          1337       1333      
200        3          1679       1499      
200        3          1566       1173      
200        3          1498       1490      
200        3          1547       1319      
200        3          2043       1434      
200        3          1450       1568      
200        3          1419       1377      
200        3          1563       1160      
200        3          1330       1292      
200        3          1512       1172      
200        3          1145       1292      
200        3          1393       1421      
200        3          1847       1200      
200        3          1367       1537      
200        3          1224       1284      
200        3          1305       1384      
200        3          1184       1436      
200        3          1524       1341      
200        3          1377       1296      
200        3          1340       1332      
200        3          1551       1220      
200        3          1541       1519      
200        3          2172       1097      
200        3          1501       1371      
200        3          1513       1236      
200        3          1375       1552      
200        3          1198       1222      
200        3          1466       1275      
200        3          1396       1406      
200        3          1266       1466      
200        3          1503       1119      
200        3          1393       1307      
200        3          1373       1534      
200        3          1312       1206      
200        3          1168       1168      
200        3          1087       1087      
200        3          1429       1305      
200        3          1734       1780      
200        3          1538       1286      
200        3          1607       1185      
200        3          1240       1185      
200        3          1293       1327      
200        3          1306       1181      
200        3          1501       1143      
200        3          1318       1309      
200        3          1650       1194      
200        3          1524       1177      
200        3          1306       1180      
200        3          1540       1127      
200        3          1332       1195      
200        3          1498       1413      
200        3          1363       1308      
200        3          1846       1316      
200        3          1990       1318      
200        3          1714       1063      
200        3          2823       1612      
200        3          1765       1506      
200        3          1299       1299      
200        3          1512       1358      
200        3          1428       1187      
200        3          2014       1242      
200        3          1366       1062      
200        3          1621       1399      
200        3          1400       1291      
200        3          2030       1349      
200        3          1313       1334      
200        3          1256       1233      
200        3          1657       1616      
200        3          1560       1202      
200        3          2079       1428      
200        3          1522       1613      
200        3          1639       1422      
200        3          1475       1454      
200        3          1179       1314      
200        3          2109       1315      
200        3          1594       1256      
200        3          1497       1325      
200        3          1239       1216      
200        5          1980       1727      
200        5          2101       1745      
200        5          2149       1512      
200        5          3224       1456      
200        5          1954       1676      
200        5          1806       1671      
200        5          2095       1816      
200        5          2000       1511      
200        5          2216       1561      
200        5          1989       1607      
200        5          2364       1835      
200        5          1787       1672      
200        5          1715       1643      
200        5          2678       1754      
200        5          1992       1557      
200        5          3594       1701      
200        5          2032       1642      
200        5          2249       1491      
200        5          1695       1496      
200        5          1545       1474      
200        5          2099       1580      
200        5          2304       1636      
200        5          1891       1654      
200        5          2558       1651      
200        5          2065       1627      
200        5          1632       1857      
200        5          1980       1467      
200        5          2250       1607      
200        5          1907       1660      
200        5          2099       1618      
200        5          1864       1648      
200        5          3422       1607      
200        5          2045       1445      
200        5          1767       1705      
200        5          1668       1560      
200        5          1795       1573      
200        5          1949       1780      
200        5          1911       1594      
200        5          2048       1764      
200        5          1711       1509      
200        5          2379       1483      
200        5          2508       1593      
200        5          2074       1570      
200        5          1895       1680      
200        5          1990       1625      
200        5          2107       1595      
200        5          1618       1497      
200        5          2122       1512      
200        5          1834       1595      
200        5          1656       1515      
200        5          2183       1747      
200        5          2377       1567      
200        5          2058       1687      
200        5          2530       1572      
200        5          2485       1434      
200        5          2421       1453      
200        5          1981       1896      
200        5          2205       1725      
200        5          2137       1597      
200        5          2398       1654      
200        5          2013       1595      
200        5          1842       1601      
200        5          1753       1470      
200        5          1865       1585      
200        5          1761       1619      
200        5          1730       1511      
200        5          2100       1848      
200        5          1756       1685      
200        5          1962       1480      
200        5          2036       1567      
200        5          2423       1802      
200        5          2177       1627      
200        5          2380       1604      
200        5          1662       1579      
200        5          2555       1939      
200        5          2092       1575      
200        5          2955       1616      
200        5          1890       1585      
200        5          2317       1692      
200        5          2017       1902      
200        5          2360       1755      
200        5          2561       1859      
200        5          1915       1630      
200        5          2215       1781      
200        5          2159       1580      
200        5          1956       1697      
200        5          1817       1699      
200        5          2436       1512      
200        5          2068       1787      
200        5          2279       1604      
200        5          1873       1828      
200        5          1983       1746      
200        5          2286       1757      
200        5          1861       1649      
200        5          2095       1779      
200        5          2387       1461      
200        5          1849       1880      
200        5          2320       1578      
200        5          2458       1586      
200        5          1834       1641      
200        7          3676       2090      
200        7          2341       1881      
200        7          2234       1761      
200        7          2423       1768      
200        7          3321       1869      
200        7          2792       1966      
200        7          2624       1967      
200        7          4172       1939      
200        7          2425       1940      
200        7          2838       2321      
200        7          2116       1956      
200        7          2555       1885      
200        7          2503       2098      
200        7          2554       1993      
200        7          2821       1915      
200        7          2016       1844      
200        7          3059       1904      
200        7          2188       1913      
200        7          2309       1956      
200        7          2197       2074      
200        7          2574       2106      
200        7          3043       2164      
200        7          2924       2035      
200        7          2589       2016      
200        7          2784       2027      
200        7          3088       1901      
200        7          2812       2076      
200        7          2182       1905      
200        7          2692       1806      
200        7          3105       2183      
200        7          2470       1859      
200        7          2688       1867      
200        7          2504       2135      
200        7          3137       2168      
200        7          2555       1827      
200        7          2180       1799      
200        7          2902       2002      
200        7          2388       1820      
200        7          2308       2122      
200        7          2783       1845      
200        7          2621       1933      
200        7          2791       1951      
200        7          2458       1906      
200        7          2372       1925      
200        7          2717       2106      
200        7          2517       2161      
200        7          4657       1952      
200        7          3056       2200      
200        7          2530       1961      
200        7          2964       2111      
200        7          2361       1862      
200        7          3418       2052      
200        7          2557       1914      
200        7          2819       1924      
200        7          2851       1890      
200        7          2751       1997      
200        7          2900       1874      
200        7          2497       1900      
200        7          2506       2093      
200        7          2705       1787      
200        7          2487       1867      
200        7          2357       2038      
200        7          2454       1808      
200        7          2242       1898      
200        7          2562       1978      
200        7          2146       1906      
200        7          2264       2052      
200        7          2742       1734      
200        7          2839       2022      
200        7          2502       1704      
200        7          2724       1791      
200        7          2329       1894      
200        7          2530       2018      
200        7          2720       1848      
200        7          2650       2009      
200        7          2282       1752      
200        7          2568       2090      
200        7          2543       1971      
200        7          2429       1781      
200        7          2685       1888      
200        7          2913       1916      
200        7          2258       1849      
200        7          2548       1961      
200        7          3232       1867      
200        7          2682       1790      
200        7          3052       2129      
200        7          3129       1856      
200        7          3172       1996      
200        7          2921       2041      
200        7          3231       2005      
200        7          2426       1958      
200        7          2323       1817      
200        7          3329       1881      
200        7          2805       1951      
200        7          2660       1865      
200        7          2753       2094      
200        7          2437       1924      
200        7          2780       2033      
200        7          2756       2048      
200        7          2521       2102      
200        9          3860       2197      
200        9          3282       2242      
200        9          2901       2469      
200        9          2710       2084      
200        9          3151       2354      
200        9          2978       2150      
200        9          2741       2284      
200        9          3228       2132      
200        9          2923       2146      
200        9          2720       2212      
200        9          2882       2213      
200        9          3442       2148      
200        9          3506       2170      
200        9          2950       2241      
200        9          3608       2327      
200        9          3304       2284      
200        9          3238       2469      
200        9          3101       2386      
200        9          3278       2370      
200        9          2619       2076      
200        9          3119       2314      
200        9          3154       2083      
