Count      N          d          Go Home   
15     10         15         60        
15     10         15         44        
15     10         15         33        
15     10         15         15        
15     10         15         13        
15     10         15         44        
15     10         15         25        
15     10         15         25        
15     10         15         26        
15     10         15         20        
15     10         15         10        
15     10         15         17        
15     10         15         15        
15     10         15         14        
15     10         15         19        
15     10         15         26        
15     10         15         11        
15     10         15         14        
15     10         15         30        
45     10         15         45        
15     10         15         25        
15     10         15         33        
15     10         15         14        
15     10         15         12        
30     10         15         35        
15     10         15         25        
15     10         15         34        
15     10         15         31        
15     10         15         10        
15     10         15         41        
15     10         15         21        
15     10         15         26        
30     10         15         26        
15     10         15         39        
15     10         15         11        
60     10         15         20        
15     10         15         34        
15     10         15         18        
15     10         15         10        
30     10         15         30        
15     10         15         42        
15     10         15         26        
15     10         15         23        
15     10         15         14        
15     10         15         10        
15     10         15         10        
30     10         15         45        
15     10         15         15        
15     10         15         41        
45     10         15         14        
33     20         3          62        
9     20         3          65        
15     20         3          72        
33     20         3          69        
42     20         3          57        
9     20         3          63        
6     20         3          72        
33     20         3          52        
51     20         3          77        
15     20         3          77        
30     20         3          79        
33     20         3          65        
21     20         3          59        
39     20         3          69        
21     20         3          67        
33     20         3          56        
24     20         3          83        
18     20         3          98        
27     20         3          62        
30     20         3          86        
15     20         3          58        
18     20         3          91        
33     20         3          58        
24     20         3          74        
45     20         3          78        
9     20         3          69        
21     20         3          95        
30     20         3          78        
15     20         3          75        
42     20         3          59        
24     20         3          65        
30     20         3          81        
48     20         3          85        
36     20         3          59        
42     20         3          73        
24     20         3          87        
15     20         3          48        
6     20         3          103       
42     20         3          89        
33     20         3          80        
30     20         3          65        
36     20         3          69        
36     20         3          69        
15     20         3          76        
30     20         3          121       
15     20         3          61        
54     20         3          73        
30     20         3          98        
9     20         3          71        
12     20         3          64        
39     20         3          68        
6     20         3          58        
21     20         3          82        
45     20         3          60        
6     20         3          84        
30     20         3          70        
12     20         3          82        
21     20         3          89        
9     20         3          82        
18     20         3          106       
30     20         3          68        
12     20         3          62        
9     20         3          96        
27     20         3          71        
24     20         3          57        
12     20         3          66        
24     20         3          86        
21     20         3          68        
18     20         3          84        
27     20         3          79        
21     20         3          78        
*12     20         3          62        
24     20         3          120       
27     20         3          54        
42     20         3          57        
12     20         3          86        
33     20         3          74        
39     20         3          72        
21     20         3          70        
36     20         3          62        
18     20         3          78        
45     20         3          62        
6     20         3          60        
27     20         3          57        
42     20         3          71        
24     20         3          80        
36     20         3          66        
30     20         3          67        
9     20         3          63        
24     20         3          54        
39     20         3          59        
12     20         3          86        
30     20         3          64        
15     20         3          68        
15     20         3          120       
30     20         3          49        
15     20         3          89        
12     20         3          65        
24     20         3          55        
24     20         3          59        
25     20         5          77        
85     20         5          70        
15     20         5          86        
15     20         5          56        
25     20         5          76        
20     20         5          97        
10     20         5          95        
25     20         5          69        
20     20         5          76        
10     20         5          74        
20     20         5          97        
50     20         5          74        
35     20         5          69        
20     20         5          80        
20     20         5          108       
25     20         5          67        
30     20         5          60        
15     20         5          65        
20     20         5          66        
25     20         5          79        
35     20         5          92        
20     20         5          76        
40     20         5          58        
20     20         5          71        
10     20         5          80        
20     20         5          110       
40     20         5          98        
35     20         5          76        
30     20         5          62        
25     20         5          72        
30     20         5          67        
10     20         5          79        
45     20         5          107       
30     20         5          86        
30     20         5          64        
35     20         5          69        
15     20         5          77        
20     20         5          73        
25     20         5          74        
20     20         5          85        
15     20         5          80        
35     20         5          56        
20     20         5          68        
15     20         5          86        
15     20         5          66        
40     20         5          93        
30     20         5          125       
15     20         5          67        
50     20         5          110       
15     20         5          59        
20     20         5          75        
20     20         5          85        
15     20         5          90        
25     20         5          98        
30     20         5          64        
25     20         5          65        
30     20         5          61        
50     20         5          58        
40     20         5          43        
25     20         5          80        
45     20         5          96        
20     20         5          65        
35     20         5          65        
20     20         5          69        
30     20         5          103       
30     20         5          73        
20     20         5          85        
15     20         5          67        
30     20         5          76        
15     20         5          74        
20     20         5          79        
20     20         5          89        
35     20         5          63        
25     20         5          94        
20     20         5          123       
20     20         5          77        
30     20         5          62        
25     20         5          99        
15     20         5          106       
20     20         5          61        
25     20         5          106       
15     20         5          78        
20     20         5          64        
15     20         5          70        
30     20         5          58        
35     20         5          84        
25     20         5          53        
25     20         5          74        
30     20         5          86        
15     20         5          70        
15     20         5          79        
15     20         5          93        
15     20         5          76        
20     20         5          88        
20     20         5          93        
20     20         5          97        
20     20         5          77        
25     20         5          65        
40     20         5          88        
15     20         5          85        
35     20         7          103       
28     20         7          91        
21     20         7          119       
21     20         7          82        
21     20         7          69        
35     20         7          112       
28     20         7          55        
35     20         7          78        
21     20         7          105       
28     20         7          75        
21     20         7          90        
28     20         7          89        
35     20         7          60        
21     20         7          84        
28     20         7          104       
14     20         7          84        
14     20         7          84        
21     20         7          68        
21     20         7          75        
35     20         7          104       
21     20         7          83        
21     20         7          81        
28     20         7          81        
28     20         7          76        
21     20         7          68        
21     20         7          88        
42     20         7          70        
28     20         7          82        
42     20         7          90        
35     20         7          75        
35     20         7          105       
42     20         7          104       
21     20         7          111       
28     20         7          114       
28     20         7          71        
28     20         7          81        
21     20         7          102       
21     20         7          68        
21     20         7          72        
42     20         7          80        
28     20         7          88        
28     20         7          66        
42     20         7          59        
35     20         7          55        
14     20         7          122       
7     20         7          76        
21     20         7          133       
42     20         7          82        
21     20         7          79        
35     20         7          70        
14     20         7          97        
21     20         7          88        
21     20         7          76        
21     20         7          81        
35     20         7          95        
42     20         7          73        
21     20         7          99        
28     20         7          79        
42     20         7          96        
49     20         7          59        
7     20         7          82        
56     20         7          106       
21     20         7          103       
21     20         7          83        
28     20         7          82        
21     20         7          65        
21     20         7          103       
7     20         7          85        
35     20         7          70        
21     20         7          79        
35     20         7          87        
42     20         7          87        
21     20         7          79        
21     20         7          73        
35     20         7          117       
21     20         7          81        
14     20         7          74        
42     20         7          52        
21     20         7          90        
28     20         7          81        
28     20         7          78        
28     20         7          124       
35     20         7          79        
28     20         7          109       
56     20         7          66        
28     20         7          70        
