Count      N          d          Go Home   
25     20         5          66        
20     20         5          75        
10     20         5          84        
25     20         5          76        
15     20         5          69        
45     20         5          95        
20     20         5          54        
30     20         5          109       
20     20         5          91        
20     20         5          67        
25     20         5          82        
25     20         5          64        
15     20         5          73        
10     20         5          73        
20     20         5          83        
30     20         5          66        
10     20         5          70        
21     20         7          103       
21     20         7          86        
21     20         7          72        
28     20         7          67        
28     20         7          57        
21     20         7          61        
35     20         7          74        
28     20         7          82        
35     20         7          102       
28     20         7          88        
28     20         7          93        
28     20         7          117       
21     20         7          85        
28     20         7          77        
21     20         7          79        
35     20         7          73        
14     20         7          108       
14     20         7          103       
21     20         7          99        
21     20         7          72        
14     20         7          91        
28     20         7          109       
28     20         7          126       
14     20         7          91        
35     20         7          99        
35     20         7          134       
35     20         7          91        
35     20         7          92        
28     20         7          68        
35     20         7          77        
21     20         7          128       
28     20         7          72        
35     20         7          98        
21     20         7          53        
28     20         7          85        
21     20         7          84        
28     20         7          75        
28     20         7          107       
28     20         7          92        
21     20         7          83        
28     20         7          79        
14     20         7          82        
35     20         7          62        
35     20         7          89        
28     20         7          83        
28     20         7          84        
28     20         7          73        
35     20         7          105       
35     20         7          72        
28     20         7          108       
21     20         7          99        
35     20         7          90        
21     20         7          100       
35     20         7          88        
21     20         7          115       
35     20         7          97        
14     20         7          94        
21     20         7          66        
35     20         7          64        
28     20         7          61        
14     20         7          77        
14     20         7          95        
42     20         7          73        
42     20         7          64        
35     20         7          127       
21     20         7          84        
28     20         7          93        
35     20         7          82        
35     20         7          83        
14     20         7          101       
35     20         7          71        
35     20         7          87        
7     20         7          72        
21     20         7          86        
28     20         7          76        
21     20         7          101       
28     20         7          127       
21     20         7          92        
28     20         7          68        
28     20         7          81        
28     20         7          64        
35     20         7          100       
28     20         7          92        
21     20         7          79        
21     20         7          85        
42     20         7          116       
28     20         7          90        
28     20         7          111       
28     20         7          95        
42     20         7          110       
35     20         7          121       
21     20         7          105       
21     20         7          78        
35     20         7          66        
35     20         7          60        
14     20         7          63        
14     20         7          78        
21     20         7          85        
35     20         7          69        
21     20         7          90        
27     20         9          56        
27     20         9          115       
36     20         9          83        
27     20         9          89        
27     20         9          87        
36     20         9          74        
45     20         9          99        
27     20         9          95        
18     20         9          91        
63     20         9          79        
18     20         9          81        
27     20         9          112       
18     20         9          78        
27     20         9          94        
18     20         9          125       
27     20         9          88        
36     20         9          122       
36     20         9          99        
18     20         9          97        
36     20         9          79        
18     20         9          82        
36     20         9          64        
36     20         9          86        
36     20         9          100       
9     20         9          91        
18     20         9          117       
9     20         9          91        
36     20         9          124       
27     20         9          58        
36     20         9          86        
27     20         9          88        
18     20         9          92        
36     20         9          84        
54     20         9          98        
36     20         9          94        
45     20         9          81        
36     20         9          83        
18     20         9          80        
45     20         9          107       
36     20         9          92        
9     20         9          106       
27     20         9          109       
18     20         9          111       
36     20         9          88        
27     20         9          116       
18     20         9          89        
54     20         9          88        
36     20         9          92        
36     20         9          109       
18     20         9          80        
36     20         9          96        
18     20         9          88        
27     20         9          127       
36     20         9          74        
45     20         9          140       
27     20         9          90        
18     20         9          86        
45     20         9          85        
18     20         9          92        
45     20         9          78        
36     20         9          117       
27     20         9          85        
27     20         9          114       
45     20         9          100       
45     20         9          106       
45     20         9          140       
27     20         9          79        
18     20         9          118       
36     20         9          81        
36     20         9          134       
27     20         9          89        
27     20         9          100       
27     20         9          98        
27     20         9          84        
27     20         9          91        
36     20         9          87        
45     20         9          124       
36     20         9          94        
27     20         9          124       
9     20         9          106       
45     20         9          80        
45     20         9          92        
45     20         9          115       
45     20         9          125       
45     20         9          80        
27     20         9          95        
27     20         9          91        
9     20         9          107       
27     20         9          112       
45     20         9          82        
45     20         9          108       
27     20         9          132       
63     20         9          112       
27     20         9          111       
36     20         9          104       
36     20         9          68        
36     20         9          88        
36     20         9          83        
45     20         9          77        
45     20         9          83        
33     20         11         97        
44     20         11         120       
44     20         11         114       
33     20         11         66        
22     20         11         94        
33     20         11         96        
33     20         11         68        
44     20         11         84        
11     20         11         143       
22     20         11         91        
33     20         11         82        
11     20         11         129       
33     20         11         133       
22     20         11         88        
44     20         11         58        
55     20         11         135       
66     20         11         97        
44     20         11         97        
33     20         11         87        
33     20         11         99        
44     20         11         88        
33     20         11         134       
22     20         11         109       
55     20         11         78        
44     20         11         98        
44     20         11         139       
22     20         11         162       
55     20         11         82        
